year,EU,JP,NA,Others
1994.0,372307954045.11285,4907039384469.68,3932687639718.805,976327335545.2814
1995.0,432004099355.34515,5449116304981.1,4121890311716.7007,1090596031546.686
1996.0,441040911192.845,4833712542207.1,4350834193986.0654,1126304675449.5803
1997.0,416023625690.5554,4414732843544.43,4615189191632.891,1127415841085.14
1998.0,430053103276.2301,4032509760872.94,4847315745203.404,1122895602933.9468
1999.0,429450453377.072,4562078822335.45,5153374101403.85,1149533093008.4255
2000.0,398749333247.69476,4887519660744.86,5497320466159.316,1188227207726.2212
2001.0,402931315045.37634,4303544259842.72,5659100588446.281,1185979173430.1704
2002.0,438750932223.38245,4115116279069.77,5847184866323.265,1233682048587.4895
2003.0,533581709788.27405,4445658071221.86,6175313145908.857,1394694683199.861
2004.0,615542926151.9761,4815148854362.11,6618462959357.035,1588733094786.104
2005.0,642809709250.7335,4755410630912.14,7102999104432.33,1747292325451.415
2006.0,684704773969.6798,4530377224970.4,7565013305730.605,1926704317396.4202
2007.0,790101255470.7872,4515264514430.57,7958417920102.875,2217611963590.1714
2008.0,847701674062.6414,5037908465114.48,8130987646498.595,2482841487635.827
2009.0,758429859433.3378,5231382674593.7,7910043014993.22,2355526835118.4424
2010.0,753290960912.9017,5700098114744.41,8302797769794.695,2626931214882.3496
2011.0,813223433671.1685,6157459594823.72,8665860884601.42,2962212841406.1377
2012.0,766614252433.1886,6203213121334.12,9010487017761.814,3049753980920.237
2013.0,799312477804.6195,5155717056270.83,9313433805426.55,3170030538301.475
2014.0,827079607752.4867,4850413536037.84,9661613328535.41,3264806592357.4487
2015.0,728680641956.5527,4389475622588.97,9886098754616.855,3073635861048.565
2016.0,732733680124.9802,4926667087367.51,10116946882067.66,3105128202426.3135
2017.0,767192863294.6643,4859950558538.97,10566130536808.734,3329445147444.3384
2018.0,828418710011.0449,4970915556638.88,11103305015017.025,3533345013670.0254
