Platform,Year_of_Release,GDP,Region,Sales,Critic_Score
Wii,2006.0,684704773969.6798,EU,28.96,76.0
Wii,2008.0,847701674062.6414,EU,12.76,82.0
Wii,2009.0,758429859433.3378,EU,10.93,80.0
DS,2006.0,684704773969.6798,EU,9.14,89.0
Wii,2006.0,684704773969.6798,EU,9.18,58.0
Wii,2009.0,758429859433.3378,EU,6.94,87.0
DS,2005.0,642809709250.7335,EU,7.47,91.0
Wii,2007.0,790101255470.7872,EU,8.03,80.0
X360,2010.0,753290960912.9017,EU,4.89,61.0
Wii,2009.0,758429859433.3378,EU,8.49,80.0
PS3,2013.0,799312477804.6195,EU,9.09,97.0
PS2,2004.0,615542926151.9761,EU,0.4,95.0
DS,2005.0,642809709250.7335,EU,9.2,77.0
X360,2013.0,799312477804.6195,EU,5.14,97.0
PS2,2002.0,438750932223.38245,EU,5.49,95.0
DS,2005.0,642809709250.7335,EU,5.35,77.0
PS2,2001.0,402931315045.37634,EU,5.09,95.0
X360,2011.0,813223433671.1685,EU,4.24,88.0
X360,2010.0,753290960912.9017,EU,3.68,87.0
PS3,2012.0,766614252433.1886,EU,5.73,83.0
X360,2012.0,766614252433.1886,EU,4.24,83.0
X360,2009.0,758429859433.3378,EU,3.59,94.0
PS3,2011.0,813223433671.1685,EU,5.73,88.0
PS2,2001.0,402931315045.37634,EU,4.51,97.0
Wii,2008.0,847701674062.6414,EU,2.55,93.0
3DS,2011.0,813223433671.1685,EU,4.02,85.0
PS3,2010.0,753290960912.9017,EU,4.37,88.0
PS4,2014.0,827079607752.4867,EU,6.31,97.0
DS,2005.0,642809709250.7335,EU,3.45,86.0
X360,2007.0,790101255470.7872,EU,2.81,94.0
PS2,2004.0,615542926151.9761,EU,0.01,89.0
Wii,2007.0,790101255470.7872,EU,3.35,97.0
X360,2008.0,847701674062.6414,EU,3.07,98.0
PS,1997.0,416023625690.5554,EU,3.87,96.0
3DS,2011.0,813223433671.1685,EU,3.0,90.0
PS3,2010.0,753290960912.9017,EU,4.82,84.0
PS3,2009.0,758429859433.3378,EU,3.64,94.0
PS3,2008.0,847701674062.6414,EU,3.69,98.0
X360,2013.0,799312477804.6195,EU,2.56,73.0
Wii,2011.0,813223433671.1685,EU,3.11,74.0
3DS,2012.0,766614252433.1886,EU,3.14,78.0
X360,2010.0,753290960912.9017,EU,1.95,91.0
PS,1997.0,416023625690.5554,EU,2.47,92.0
X360,2012.0,766614252433.1886,EU,2.28,87.0
PS,1999.0,429450453377.072,EU,3.42,93.0
Wii,2010.0,753290960912.9017,EU,2.85,74.0
PS3,2013.0,799312477804.6195,EU,3.63,71.0
X360,2007.0,790101255470.7872,EU,2.36,94.0
3DS,2012.0,766614252433.1886,EU,2.36,88.0
DS,2007.0,790101255470.7872,EU,1.85,72.0
X360,2011.0,813223433671.1685,EU,2.79,96.0
PS4,2015.0,728680641956.5527,EU,6.12,82.0
XB,2004.0,615542926151.9761,EU,1.53,95.0
Wii,2010.0,753290960912.9017,EU,3.47,68.0
Wii,2007.0,790101255470.7872,EU,2.24,62.0
PS3,2012.0,766614252433.1886,EU,5.01,88.0
PS2,2001.0,402931315045.37634,EU,2.07,92.0
PC,2009.0,758429859433.3378,EU,6.42,86.0
PS,1999.0,429450453377.072,EU,1.72,90.0
DS,2008.0,847701674062.6414,EU,1.72,83.0
PSP,2005.0,642809709250.7335,EU,2.81,88.0
